N,d,k,beta,prob_low,prob_upp
100.0,2.0,0.0,0.01,0.9354571033668518,1.0
100.0,2.0,1.0,0.01,0.9185888494300842,0.9985089734077454
100.0,2.0,2.0,0.01,0.9030290104866028,0.9956060468482971
100.0,2.0,3.0,0.01,0.88829503698349,0.991676987247467
100.0,2.0,4.0,0.01,0.8741485151100159,0.9870307789039612
100.0,2.0,5.0,0.01,0.8604483038902282,0.981852430934906
100.0,2.0,6.0,0.01,0.8471028524208069,0.9762582892799377
100.0,2.0,7.0,0.01,0.8340530340766907,0.9703227390480041
100.0,2.0,8.0,0.01,0.8212530734062194,0.9641068141746522
100.0,2.0,9.0,0.01,0.8086686388206482,0.9576467535591126
100.0,2.0,10.0,0.01,0.7962749352836609,0.9509787961006164
100.0,2.0,11.0,0.01,0.7840509823799133,0.9441258295249939
100.0,2.0,12.0,0.01,0.7719757996940613,0.9371069269371033
100.0,2.0,13.0,0.01,0.7600417579841614,0.9299392541313172
100.0,2.0,14.0,0.01,0.748231691455841,0.9226342549705505
100.0,2.0,15.0,0.01,0.7365417854881287,0.9152052806282044
100.0,2.0,16.0,0.01,0.7249567815971375,0.9076599603462219
100.0,2.0,17.0,0.01,0.7134747724723818,0.9000078306770325
100.0,2.0,18.0,0.01,0.7020881288719178,0.8922546135520935
100.0,2.0,19.0,0.01,0.6907911288642883,0.8844079382133484
100.0,2.0,20.0,0.01,0.6795780505180359,0.8764716192817688
100.0,2.0,21.0,0.01,0.6684469865226746,0.8684532859992982
100.0,2.0,22.0,0.01,0.657390307636261,0.8603529383659363
100.0,2.0,23.0,0.01,0.6464080138587951,0.8521782056236267
100.0,2.0,24.0,0.01,0.6354962905693055,0.8439290877723694
100.0,2.0,25.0,0.01,0.6246532304573058,0.8356093994331361
100.0,2.0,26.0,0.01,0.6138731115913392,0.8272229552268981
100.0,2.0,27.0,0.01,0.6031578412818909,0.8187716624641419
100.0,2.0,28.0,0.01,0.5925016975975037,0.8102593357658386
100.0,2.0,29.0,0.01,0.5819065878486632,0.8016840678215027
100.0,2.0,30.0,0.01,0.5713667901039123,0.7930496732521057
100.0,2.0,31.0,0.01,0.5608861189842225,0.7843599666786194
100.0,2.0,32.0,0.01,0.5504569452476501,0.7756130407905579
100.0,2.0,33.0,0.01,0.5400830835151673,0.766810802898407
100.0,2.0,34.0,0.01,0.529760719165802,0.7499940463447571
100.0,2.0,35.0,0.01,0.5194898521995543,0.7490556495857239
100.0,2.0,36.0,0.01,0.5092685753059387,0.7400931976127625
100.0,2.0,37.0,0.01,0.4990987957954407,0.7310830628776551
100.0,2.0,38.0,0.01,0.48897669904708885,0.7220252453804017
100.0,2.0,39.0,0.01,0.4789041923713683,0.7129197451210023
100.0,2.0,40.0,0.01,0.4688774611473083,0.703764654788971
100.0,2.0,41.0,0.01,0.45889841268539433,0.6945618816947937
100.0,2.0,42.0,0.01,0.4489651396751402,0.6853133331489564
100.0,2.0,43.0,0.01,0.4390795494270324,0.6760171018409729
100.0,2.0,44.0,0.01,0.42923973463058473,0.6666750950813294
100.0,2.0,45.0,0.01,0.41944378797531123,0.6572873128700256
100.0,2.0,46.0,0.01,0.4096936167716979,0.6478537552070618
100.0,2.0,47.0,0.01,0.39999112833023087,0.6383763294029235
100.0,2.0,48.0,0.01,0.390330600719452,0.6288512208366394
100.0,2.0,49.0,0.01,0.38071775587081924,0.6192822441291809
100.0,2.0,50.0,0.01,0.37114877916336053,0.6096693992805481
100.0,2.0,51.0,0.01,0.36162367059707645,0.6000088716697691
100.0,2.0,52.0,0.01,0.3521462447929383,0.590306383228302
100.0,2.0,53.0,0.01,0.3427126871299744,0.5805562120246887
100.0,2.0,54.0,0.01,0.33332490491867084,0.5707602653694153
100.0,2.0,55.0,0.01,0.32398289815902714,0.5609204505729675
100.0,2.0,56.0,0.01,0.31468666685104374,0.5510348603248596
100.0,2.0,57.0,0.01,0.3054381183052065,0.5411015873146059
100.0,2.0,58.0,0.01,0.2962353452110291,0.5311225388526917
100.0,2.0,59.0,0.01,0.2870802548789979,0.5211835439109802
100.0,2.0,60.0,0.01,0.27797475461959853,0.5110233009529114
100.0,2.0,61.0,0.01,0.268916937122345,0.4999990463447571
100.0,2.0,62.0,0.01,0.25991061700820917,0.4907314246940613
100.0,2.0,63.0,0.01,0.2509519796562195,0.48051014780044543
100.0,2.0,64.0,0.01,0.24204293237686159,0.4702392808341981
100.0,2.0,65.0,0.01,0.23318919710159303,0.4599169164848327
100.0,2.0,66.0,0.01,0.22438695920944207,0.4495430547523497
100.0,2.0,67.0,0.01,0.2156400333213806,0.43911388101577753
100.0,2.0,68.0,0.01,0.20695032674789426,0.42863320989608755
100.0,2.0,69.0,0.01,0.1983159321784972,0.41809341215133655
100.0,2.0,70.0,0.01,0.18974066423416136,0.4074983024024963
100.0,2.0,71.0,0.01,0.18122833753585832,0.396842158718109
100.0,2.0,72.0,0.01,0.17277704477310163,0.38612688840866083
100.0,2.0,73.0,0.01,0.16439060056686383,0.3753467695426941
100.0,2.0,74.0,0.01,0.15607091222763048,0.36450370943069466
100.0,2.0,75.0,0.01,0.14782179437637322,0.3535919861412048
100.0,2.0,76.0,0.01,0.1396470616340637,0.34260969236373895
100.0,2.0,77.0,0.01,0.13154671400070184,0.3315530134773256
100.0,2.0,78.0,0.01,0.12352838071823102,0.32042194948196423
100.0,2.0,79.0,0.01,0.1155920617866516,0.3092088711357118
100.0,2.0,80.0,0.01,0.10774538644790632,0.2979118711280824
100.0,2.0,81.0,0.01,0.0999921693229674,0.28652522752761844
100.0,2.0,82.0,0.01,0.0923400396537779,0.2750432184028627
100.0,2.0,83.0,0.01,0.0847947193717955,0.26345821451187135
100.0,2.0,84.0,0.01,0.0773657450294496,0.25000404634475715
100.0,2.0,85.0,0.01,0.07006074586868272,0.2399582420158387
100.0,2.0,86.0,0.01,0.0628930730628966,0.22802420030593873
100.0,2.0,87.0,0.01,0.0558741704750062,0.21594901762008678
100.0,2.0,88.0,0.01,0.04902120389938347,0.2037250647163391
100.0,2.0,89.0,0.01,0.042353246440887116,0.19133136117935168
100.0,2.0,90.0,0.01,0.03589318582534773,0.17874692659378055
100.0,2.0,91.0,0.01,0.029677260951995743,0.16594696592330926
100.0,2.0,92.0,0.01,0.023741710720062148,0.15289714757919315
100.0,2.0,93.0,0.01,0.01814756906509385,0.1395516961097717
100.0,2.0,94.0,0.01,0.012969221096038819,0.12500654634475705
100.0,2.0,95.0,0.01,0.008323012752532999,0.1117049630165099
100.0,2.0,96.0,0.01,0.0043939531517029895,0.096970989513397
100.0,2.0,97.0,0.01,0.0014910265922545296,0.08141115056991566
100.0,2.0,98.0,0.01,0.00010059724807731651,0.062507796344757
100.0,2.0,99.0,0.01,0.5,0.5
100.0,2.0,100.0,0.01,0.0,0.5
