N,d,k,beta,prob_low,prob_upp
50.0,1.0,0.0,0.1,0.9549917773628235,1.0
50.0,1.0,1.0,0.1,0.9244194975852966,0.997894819431305
50.0,1.0,2.0,0.1,0.8970400555610657,0.9893138295555115
50.0,1.0,3.0,0.1,0.8712436812400818,0.9777574353218078
50.0,1.0,4.0,0.1,0.8464505522346497,0.9646523049736023
50.0,1.0,5.0,0.1,0.8223822012138366,0.95055537317276
50.0,1.0,6.0,0.1,0.798868877544403,0.9357451072502136
50.0,1.0,7.0,0.1,0.7758075864601135,0.9203702774238587
50.0,1.0,8.0,0.1,0.7531258501625061,0.904551044254303
50.0,1.0,9.0,0.1,0.7307702639579774,0.888354163608551
50.0,1.0,10.0,0.1,0.7087026816368103,0.8718292255592346
50.0,1.0,11.0,0.1,0.6868925862312317,0.8550181909370422
50.0,1.0,12.0,0.1,0.6653170900154114,0.8379496693992615
50.0,1.0,13.0,0.1,0.6439571198844909,0.8206484559822083
50.0,1.0,14.0,0.1,0.6227974173545837,0.8031298091697693
50.0,1.0,15.0,0.1,0.6018246312522888,0.785412802066803
50.0,1.0,16.0,0.1,0.581029225025177,0.7499940463447571
50.0,1.0,17.0,0.1,0.5604016621208191,0.7494256678199769
50.0,1.0,18.0,0.1,0.5399381279182434,0.7311765210914614
50.0,1.0,19.0,0.1,0.5196290858650208,0.7127633456611634
50.0,1.0,20.0,0.1,0.4994726286506652,0.6941937707710267
50.0,1.0,21.0,0.1,0.4794630343437193,0.6754754256629943
50.0,1.0,22.0,0.1,0.4596003029441833,0.6566064030265808
50.0,1.0,23.0,0.1,0.4398787125205992,0.6375943321037293
50.0,1.0,24.0,0.1,0.42029826307296747,0.6184373055839538
50.0,1.0,25.0,0.1,0.4008608619117735,0.5991391380882263
50.0,1.0,26.0,0.1,0.3815626944160463,0.5797017369270324
50.0,1.0,27.0,0.1,0.3624056678962707,0.5601212874794006
50.0,1.0,28.0,0.1,0.3433935969734193,0.5403996970558167
50.0,1.0,29.0,0.1,0.32452457433700554,0.5205465022087097
50.0,1.0,30.0,0.1,0.3058062292289736,0.4999990463447571
50.0,1.0,31.0,0.1,0.2872366543388366,0.4803709141349791
50.0,1.0,32.0,0.1,0.26882347890853886,0.46006187208175664
50.0,1.0,33.0,0.1,0.25057433218002334,0.4395983378791808
50.0,1.0,34.0,0.1,0.2324911214637757,0.41897077497482293
50.0,1.0,35.0,0.1,0.21458719793319703,0.3981753687477112
50.0,1.0,36.0,0.1,0.19687019083023083,0.3772025826454163
50.0,1.0,37.0,0.1,0.17935154401779185,0.3560428801155091
50.0,1.0,38.0,0.1,0.1620503306007386,0.33468290998458883
50.0,1.0,39.0,0.1,0.14498180906295777,0.3131074137687685
50.0,1.0,40.0,0.1,0.1281707744407652,0.29129731836318973
50.0,1.0,41.0,0.1,0.11164583639144876,0.25000404634475715
50.0,1.0,42.0,0.1,0.0954489557456969,0.2468741498374939
50.0,1.0,43.0,0.1,0.0796297225761412,0.2241924135398865
50.0,1.0,44.0,0.1,0.06426061468124378,0.20113112245559694
50.0,1.0,45.0,0.1,0.049444626827239935,0.17761779878616346
50.0,1.0,46.0,0.1,0.035347695026397674,0.1535494477653504
50.0,1.0,47.0,0.1,0.022242564678191967,0.12500654634475705
50.0,1.0,48.0,0.1,0.010686170444488496,0.10295994443893419
50.0,1.0,49.0,0.1,0.002105180568695131,0.062507796344757
50.0,1.0,50.0,0.1,0.0,0.04500822263717641
