N,d,k,beta,prob_low,prob_upp
100.0,1.0,31.0,0.1,0.6232036744880676,0.7499940463447571
100.0,1.0,32.0,0.1,0.6128584224128723,0.741563733997345
100.0,1.0,33.0,0.1,0.6025417799949646,0.7321873956489564
100.0,1.0,34.0,0.1,0.5922575618553161,0.7227843549537659
100.0,1.0,35.0,0.1,0.5820019533729552,0.713352704601288
100.0,1.0,36.0,0.1,0.5717768618583678,0.7038924445915223
100.0,1.0,37.0,0.1,0.5615765653800965,0.6944016676139833
100.0,1.0,38.0,0.1,0.5514067858695983,0.6848822809791566
100.0,1.0,39.0,0.1,0.5412637087059022,0.675336191997528
100.0,1.0,40.0,0.1,0.5311473338890076,0.665763400669098
100.0,1.0,41.0,0.1,0.5210576614189147,0.6561619996833801
100.0,1.0,42.0,0.1,0.5109985059165955,0.6465338963508606
100.0,1.0,43.0,0.1,0.5009584235191346,0.6368809979820251
100.0,1.0,44.0,0.1,0.490948858089447,0.6272013972663879
100.0,1.0,45.0,0.1,0.48096408769607535,0.617495094203949
100.0,1.0,46.0,0.1,0.47100220502853396,0.6077639961051942
100.0,1.0,47.0,0.1,0.46106702470779426,0.5980061956596374
100.0,1.0,48.0,0.1,0.45115854673385614,0.588223600177765
100.0,1.0,49.0,0.1,0.44127486379623404,0.5784162096595764
100.0,1.0,50.0,0.1,0.43141597589492797,0.568584024105072
100.0,1.0,51.0,0.1,0.4215837903404235,0.5587251362037658
100.0,1.0,52.0,0.1,0.4117763998222349,0.5488414532661439
100.0,1.0,53.0,0.1,0.4019938043403626,0.5389329752922059
100.0,1.0,54.0,0.1,0.39223600389480595,0.528997794971466
100.0,1.0,55.0,0.1,0.38250490579605123,0.5190378196144103
100.0,1.0,56.0,0.1,0.3727986027336121,0.4999990463447571
100.0,1.0,57.0,0.1,0.36311900201797476,0.49904157648086545
100.0,1.0,58.0,0.1,0.35346610364913955,0.4890072160148622
100.0,1.0,59.0,0.1,0.34383800031662004,0.47894233858108504
100.0,1.0,60.0,0.1,0.3342365993309022,0.4688526661109924
100.0,1.0,61.0,0.1,0.32466380800247197,0.458736291294098
100.0,1.0,62.0,0.1,0.3151177190208436,0.44859321413040143
100.0,1.0,63.0,0.1,0.30559833238601697,0.4384234346199035
100.0,1.0,64.0,0.1,0.296107555408478,0.42822313814163204
100.0,1.0,65.0,0.1,0.28664729539871225,0.41799804662704454
100.0,1.0,66.0,0.1,0.2772156450462342,0.4077424381446839
100.0,1.0,67.0,0.1,0.2678126043510437,0.3974582200050354
100.0,1.0,68.0,0.1,0.2584458025550843,0.38714157758712775
100.0,1.0,69.0,0.1,0.24910188848495485,0.3767963255119323
100.0,1.0,70.0,0.1,0.2397942133140566,0.36641864915847777
100.0,1.0,71.0,0.1,0.23051896242141723,0.3560104558372499
100.0,1.0,72.0,0.1,0.22127995042800896,0.3455679309272768
100.0,1.0,73.0,0.1,0.21207527002334614,0.33509107442855846
100.0,1.0,74.0,0.1,0.20290682851791386,0.3245798863410949
100.0,1.0,75.0,0.1,0.19377462591171246,0.31403055204391495
100.0,1.0,76.0,0.1,0.1846862914466859,0.30344497884750377
100.0,1.0,77.0,0.1,0.17563610319137568,0.29281935213088983
100.0,1.0,78.0,0.1,0.16662978307723986,0.2821517645835877
