N,d,k,beta,prob_low,prob_upp
50.0,1.0,0.0,0.3,0.9762086992073059,1.0
50.0,1.0,1.0,0.3,0.9519133782386779,0.992891944026947
50.0,1.0,2.0,0.3,0.9288520871543884,0.9780740488624573
50.0,1.0,3.0,0.3,0.9064297450828552,0.9616883444786072
50.0,1.0,4.0,0.3,0.8844212893867492,0.9374902963447571
50.0,1.0,5.0,0.3,0.8627103741264344,0.927045864124298
50.0,1.0,6.0,0.3,0.8412302434349059,0.9091934379768372
50.0,1.0,7.0,0.3,0.8199351218605042,0.8749915463447571
50.0,1.0,8.0,0.3,0.798798307056427,0.8728210270118714
50.0,1.0,9.0,0.3,0.7777950039863587,0.8543773346138
50.0,1.0,10.0,0.3,0.7569118614768982,0.8357982231712342
50.0,1.0,11.0,0.3,0.7361374356651307,0.8170970438575744
50.0,1.0,12.0,0.3,0.7154564680671693,0.7982890551567078
50.0,1.0,13.0,0.3,0.6948670513725281,0.7793837936210632
50.0,1.0,14.0,0.3,0.6743596490287781,0.7499940463447571
50.0,1.0,15.0,0.3,0.6539304464149476,0.7413081543922424
50.0,1.0,16.0,0.3,0.6335737215995788,0.722151127872467
50.0,1.0,17.0,0.3,0.6132875672721863,0.7029197162437439
50.0,1.0,18.0,0.3,0.593068168811798,0.6836196414375306
50.0,1.0,19.0,0.3,0.5729136189079285,0.6642509034538269
50.0,1.0,20.0,0.3,0.5528220102500916,0.6448192242240905
50.0,1.0,21.0,0.3,0.5327933428382874,0.6249965463447571
50.0,1.0,22.0,0.3,0.5128218947410583,0.605765134716034
50.0,1.0,23.0,0.3,0.4929114805793763,0.5861484463691711
50.0,1.0,24.0,0.3,0.47305828573226916,0.5664707240867615
50.0,1.0,25.0,0.3,0.4532642175102233,0.5467357824897767
50.0,1.0,26.0,0.3,0.43352927591323853,0.5269417142677308
50.0,1.0,27.0,0.3,0.4138515536308286,0.4999990463447571
50.0,1.0,28.0,0.3,0.3942348652839661,0.4871838271903991
50.0,1.0,29.0,0.3,0.3746773035621642,0.4672066571617125
50.0,1.0,30.0,0.3,0.35518077577590956,0.4471779897499084
50.0,1.0,31.0,0.3,0.33574909654617313,0.42708638109207153
50.0,1.0,32.0,0.3,0.3163803585624695,0.406931831188202
50.0,1.0,33.0,0.3,0.29708028375625617,0.37500154634475713
50.0,1.0,34.0,0.3,0.27784887212753306,0.3664262784004212
50.0,1.0,35.0,0.3,0.2586918456077576,0.34606955358505254
50.0,1.0,36.0,0.3,0.23961301881790176,0.325640350971222
50.0,1.0,37.0,0.3,0.22061620637893686,0.3051329486274721
50.0,1.0,38.0,0.3,0.20171094484329233,0.2845435319328308
50.0,1.0,39.0,0.3,0.18290295614242535,0.25000404634475715
50.0,1.0,40.0,0.3,0.1642017768287658,0.24308813852310185
50.0,1.0,41.0,0.3,0.14562266538620006,0.2222049960136413
50.0,1.0,42.0,0.3,0.1271827876091003,0.1875052963447571
50.0,1.0,43.0,0.3,0.10889930929183955,0.1800648781394958
50.0,1.0,44.0,0.3,0.09080656202316284,0.15876975656509384
50.0,1.0,45.0,0.3,0.07295413587570176,0.12500654634475705
50.0,1.0,46.0,0.3,0.055412601337432865,0.11557871061325076
50.0,1.0,47.0,0.3,0.03831165552139271,0.09357025491714466
50.0,1.0,48.0,0.3,0.021925951137542476,0.062507796344757
50.0,1.0,49.0,0.3,0.0071080559730529735,0.03125842134475698
50.0,1.0,50.0,0.3,0.0,0.02379130079269398
