N,d,k,beta,prob_low,prob_upp
250.0,1.0,0.0,0.05,0.9880893362236023,1.0
250.0,1.0,1.0,0.05,0.9811657991600037,0.9997945006752014
250.0,1.0,2.0,0.05,0.9750318886375428,0.9985757292747498
250.0,1.0,3.0,0.05,0.9692794402122498,0.9967218234825135
250.0,1.0,4.0,0.05,0.9637615909767151,0.9945169725608826
250.0,1.0,5.0,0.05,0.9584096777534485,0.9920870590019226
250.0,1.0,6.0,0.05,0.9531817397117615,0.9894969313621521
250.0,1.0,7.0,0.05,0.9480529818153381,0.9867866431617737
250.0,1.0,8.0,0.05,0.9430043309593201,0.9839924333000183
250.0,1.0,9.0,0.05,0.9380205286598206,0.9810933213615417
250.0,1.0,10.0,0.05,0.9330958529853821,0.9781408047294616
250.0,1.0,11.0,0.05,0.9282207673835754,0.9751310687828064
250.0,1.0,12.0,0.05,0.9233876426124573,0.9720736500740051
250.0,1.0,13.0,0.05,0.9185964786720276,0.9689723632240296
250.0,1.0,14.0,0.05,0.9138377390098572,0.9658310228538514
250.0,1.0,15.0,0.05,0.9091133309364319,0.9626553508949279
250.0,1.0,16.0,0.05,0.9044156252098083,0.9594472546577454
250.0,1.0,17.0,0.05,0.8997446218299865,0.956212456073761
250.0,1.0,18.0,0.05,0.8950984134864808,0.952949047832489
250.0,1.0,19.0,0.05,0.890475092868805,0.949662751865387
250.0,1.0,20.0,0.05,0.8858727526664734,0.9463535681724549
250.0,1.0,21.0,0.05,0.8812913928794861,0.9430234040641785
250.0,1.0,22.0,0.05,0.8767271988868713,0.9374902963447571
250.0,1.0,23.0,0.05,0.872182077999115,0.9363058565330505
250.0,1.0,24.0,0.05,0.8676503082847595,0.9329203804206848
250.0,1.0,25.0,0.05,0.8631357043647766,0.9295177385139466
250.0,1.0,26.0,0.05,0.8586363589286804,0.9260998381233215
250.0,1.0,27.0,0.05,0.854150364665985,0.9226666792488099
250.0,1.0,28.0,0.05,0.8496777215766906,0.9192201692008972
250.0,1.0,29.0,0.05,0.8452184296607972,0.9157603079795837
250.0,1.0,30.0,0.05,0.8407705816078186,0.9122890028953552
250.0,1.0,31.0,0.05,0.8363341774177552,0.9088043466377258
250.0,1.0,32.0,0.05,0.8319092170906067,0.9053063392066956
250.0,1.0,33.0,0.05,0.8274957006263733,0.901798795223236
250.0,1.0,34.0,0.05,0.823091720714569,0.8982817146873474
250.0,1.0,35.0,0.05,0.8186991846656799,0.8947531902885437
250.0,1.0,36.0,0.05,0.81431618516922,0.891213222026825
250.0,1.0,37.0,0.05,0.8099408149147034,0.8876656245231629
250.0,1.0,38.0,0.05,0.805574981212616,0.8841065831565857
250.0,1.0,39.0,0.05,0.8012186840629577,0.8805418198585511
250.0,1.0,40.0,0.05,0.7968700161552429,0.8749915463447571
250.0,1.0,41.0,0.05,0.7925308847999573,0.8733817762947083
250.0,1.0,42.0,0.05,0.7881993826866149,0.8697960325813293
250.0,1.0,43.0,0.05,0.7838736025047303,0.8661893084526062
250.0,1.0,44.0,0.05,0.7795573588752747,0.8625806770133972
250.0,1.0,45.0,0.05,0.7752487444877625,0.8589663236427307
250.0,1.0,46.0,0.05,0.7709458520317078,0.8553443410301209
250.0,1.0,47.0,0.05,0.7666505888175965,0.8517147291755677
250.0,1.0,48.0,0.05,0.7623629548454285,0.848077488079071
250.0,1.0,49.0,0.05,0.7580810428047181,0.8444326177406312
250.0,1.0,50.0,0.05,0.7538048526954652,0.8407839327812194
250.0,1.0,51.0,0.05,0.7495362918281556,0.8371257112693786
250.0,1.0,52.0,0.05,0.7452734528923035,0.8334636751365663
250.0,1.0,53.0,0.05,0.7410163358879089,0.8297940097618103
250.0,1.0,54.0,0.05,0.7367668481254578,0.826118622455597
250.0,1.0,55.0,0.05,0.7325211749839784,0.822437513217926
250.0,1.0,56.0,0.05,0.7282831310844422,0.8187506820487976
250.0,1.0,57.0,0.05,0.7240489018058777,0.8150581289482116
250.0,1.0,58.0,0.05,0.7198203944587708,0.8113579466056824
250.0,1.0,59.0,0.05,0.7155976090431215,0.8076539496421814
250.0,1.0,60.0,0.05,0.7113824528694153,0.8039461380577088
250.0,1.0,61.0,0.05,0.707169204006195,0.8002306972312927
250.0,1.0,62.0,0.05,0.7029616770744325,0.796511441783905
250.0,1.0,63.0,0.05,0.698761779384613,0.792784557094574
250.0,1.0,64.0,0.05,0.6945637890052796,0.7890538577842712
250.0,1.0,65.0,0.05,0.6903734278678895,0.7853193438529968
250.0,1.0,66.0,0.05,0.6861849740409851,0.7815791079902649
250.0,1.0,67.0,0.05,0.6820041494560243,0.7778350575065612
250.0,1.0,68.0,0.05,0.677827139492035,0.7740852850914002
250.0,1.0,69.0,0.05,0.6736539441490174,0.7703297907447815
250.0,1.0,70.0,0.05,0.6694845634269715,0.7665704817771912
250.0,1.0,71.0,0.05,0.665320904636383,0.7628073581886292
250.0,1.0,72.0,0.05,0.6611629677772521,0.7590385126686097
250.0,1.0,73.0,0.05,0.6570069382286072,0.7552658525276185
250.0,1.0,74.0,0.05,0.6528566306114197,0.7499940463447571
250.0,1.0,75.0,0.05,0.6487120449256897,0.7477243468666076
250.0,1.0,76.0,0.05,0.6445693665504455,0.7439497794151306
250.0,1.0,77.0,0.05,0.640432410106659,0.740169490032196
250.0,1.0,78.0,0.05,0.636299268283844,0.736335795955658
250.0,1.0,79.0,0.05,0.632168033771515,0.7325383407783509
250.0,1.0,80.0,0.05,0.6280444285011291,0.7287351636695862
250.0,1.0,81.0,0.05,0.6239227305412293,0.7249281719398499
250.0,1.0,82.0,0.05,0.619804847202301,0.7211173655891419
250.0,1.0,83.0,0.05,0.6156926857948303,0.7173027446174622
250.0,1.0,84.0,0.05,0.6115824316978454,0.713484309024811
250.0,1.0,85.0,0.05,0.6074778995323181,0.7096620588111877
250.0,1.0,86.0,0.05,0.6033752746772767,0.7058340866661073
250.0,1.0,87.0,0.05,0.5992783717536925,0.7020042072105408
250.0,1.0,88.0,0.05,0.5951852834510802,0.6981705131340028
250.0,1.0,89.0,0.05,0.5910941024589538,0.6943330044364929
250.0,1.0,90.0,0.05,0.5870067360877991,0.6904897738075256
250.0,1.0,91.0,0.05,0.5829250916481017,0.6866446358680726
250.0,1.0,92.0,0.05,0.5788472618293762,0.6827956833076477
250.0,1.0,93.0,0.05,0.5747713393211364,0.6789429161262512
250.0,1.0,94.0,0.05,0.5706992314338684,0.6750863343238831
250.0,1.0,95.0,0.05,0.566630938167572,0.6712259379005432
250.0,1.0,96.0,0.05,0.5625664595222473,0.6673617268562317
250.0,1.0,97.0,0.05,0.5585057954978943,0.6634937011909485
250.0,1.0,98.0,0.05,0.5544489460945129,0.6596218609046935
250.0,1.0,99.0,0.05,0.5503940040016175,0.6557481133079528
250.0,1.0,100.0,0.05,0.5463447838401794,0.6518705510902405
250.0,1.0,101.0,0.05,0.5422974709892273,0.6479891742515564
250.0,1.0,102.0,0.05,0.5382539727592468,0.6441039827919006
250.0,1.0,103.0,0.05,0.5342142891502379,0.6402149767112733
250.0,1.0,104.0,0.05,0.530178420162201,0.6363221560096741
250.0,1.0,105.0,0.05,0.5261463657951356,0.6324274279975892
250.0,1.0,106.0,0.05,0.5221162187385558,0.6249965463447571
250.0,1.0,107.0,0.05,0.5180917936134339,0.6246246208000182
250.0,1.0,108.0,0.05,0.5140692757987976,0.6207203562355041
250.0,1.0,109.0,0.05,0.510052479915619,0.6168103697395325
250.0,1.0,110.0,0.05,0.5060337767219543,0.6128965686225891
250.0,1.0,111.0,0.05,0.5020227027702332,0.6089808601951598
250.0,1.0,112.0,0.05,0.4980135361289979,0.605061337146759
250.0,1.0,113.0,0.05,0.4940043694877625,0.6011379994773864
250.0,1.0,114.0,0.05,0.4900028320884705,0.597212754497528
250.0,1.0,115.0,0.05,0.4860032019996643,0.593283694896698
250.0,1.0,116.0,0.05,0.4820112011528015,0.5893508206748962
250.0,1.0,117.0,0.05,0.47801538568496704,0.5854141318321228
250.0,1.0,118.0,0.05,0.4740252921485901,0.5814736283683776
250.0,1.0,119.0,0.05,0.47004092054367064,0.5775312175941466
250.0,1.0,120.0,0.05,0.46605654893875126,0.5735849921989441
250.0,1.0,121.0,0.05,0.4620778992652894,0.5696368594932556
250.0,1.0,122.0,0.05,0.4581030642127992,0.5656830048561097
250.0,1.0,123.0,0.05,0.4541301364707946,0.5617272429084778
250.0,1.0,124.0,0.05,0.45016102334976194,0.5577676663398743
250.0,1.0,125.0,0.05,0.44619381753921505,0.553806182460785
