N,d,k,beta,prob_low,prob_upp
2500.0,1.0,0.0,0.01,0.9981599355888366,1.0
2500.0,1.0,1.0,0.01,0.9973474213218689,0.999989046344757
2500.0,1.0,2.0,0.01,0.9966417164421082,0.9999413635826111
2500.0,1.0,3.0,0.01,0.9959875089454651,0.9998250176429748
2500.0,1.0,4.0,0.01,0.9953657257270813,0.9996705254936218
2500.0,1.0,5.0,0.01,0.9947649229240417,0.9995026821708679
2500.0,1.0,6.0,0.01,0.9941812859153748,0.9992852487754822
2500.0,1.0,7.0,0.01,0.9936110000801086,0.9990678153800965
2500.0,1.0,8.0,0.01,0.9930521581077576,0.9988370308113098
2500.0,1.0,9.0,0.01,0.9925009453773499,0.9985948023796082
2500.0,1.0,10.0,0.01,0.9919592691993714,0.998346852016449
2500.0,1.0,11.0,0.01,0.9914233149528503,0.9980893651008605
2500.0,1.0,12.0,0.01,0.990891175327301,0.9978261562538147
2500.0,1.0,13.0,0.01,0.9903647576332092,0.9975572254753112
2500.0,1.0,14.0,0.01,0.9898440618705749,0.9972825727653504
2500.0,1.0,15.0,0.01,0.9893271807289123,0.9970060127449035
2500.0,1.0,16.0,0.01,0.9888141142082214,0.9967237307929993
2500.0,1.0,17.0,0.01,0.9883048623085022,0.9964376342201233
2500.0,1.0,18.0,0.01,0.9877994250297546,0.9961477230262756
2500.0,1.0,19.0,0.01,0.9872939877510071,0.9958559045219422
2500.0,1.0,20.0,0.01,0.9867942724037171,0.9955602713966369
2500.0,1.0,21.0,0.01,0.986294557056427,0.9952627309608459
2500.0,1.0,22.0,0.01,0.9857986563301087,0.9949613759040833
2500.0,1.0,23.0,0.01,0.9853046629142761,0.9946600208473205
2500.0,1.0,24.0,0.01,0.9848125768089294,0.9943548511695862
2500.0,1.0,25.0,0.01,0.9843223980140686,0.9940477741813659
2500.0,1.0,26.0,0.01,0.9838341265296936,0.99373878988266
2500.0,1.0,27.0,0.01,0.9833458550453186,0.993427898273468
2500.0,1.0,28.0,0.01,0.9828613981819153,0.9931170066642762
2500.0,1.0,29.0,0.01,0.9823769413185119,0.9928023004341126
2500.0,1.0,30.0,0.01,0.9818962990760803,0.9924875942039489
2500.0,1.0,31.0,0.01,0.9814137495231628,0.9921709806632996
2500.0,1.0,32.0,0.01,0.980935014591217,0.9918581817436218
2500.0,1.0,33.0,0.01,0.9804581869697571,0.991533938961029
2500.0,1.0,34.0,0.01,0.9799813593482971,0.9912116034889221
2500.0,1.0,35.0,0.01,0.9795045317268372,0.990891175327301
2500.0,1.0,36.0,0.01,0.9790296114158631,0.9905688398551941
2500.0,1.0,37.0,0.01,0.9785546911048889,0.9902445970726013
2500.0,1.0,38.0,0.01,0.9780835854148865,0.9899184469795227
2500.0,1.0,39.0,0.01,0.9776105724143982,0.9895922968864441
2500.0,1.0,40.0,0.01,0.9771413740348815,0.9892661467933654
2500.0,1.0,41.0,0.01,0.9766702683448791,0.988938089389801
2500.0,1.0,42.0,0.01,0.9762010699653626,0.9886081246757508
2500.0,1.0,43.0,0.01,0.9757337788963318,0.9882781599617004
2500.0,1.0,44.0,0.01,0.9752664878273011,0.9879481952476501
2500.0,1.0,45.0,0.01,0.9748011040687561,0.987616323223114
2500.0,1.0,46.0,0.01,0.9743338129997253,0.9872844511985779
2500.0,1.0,47.0,0.01,0.9738703365516662,0.9869506718635559
2500.0,1.0,48.0,0.01,0.9734049527931213,0.9866168925285339
2500.0,1.0,49.0,0.01,0.9729414763450622,0.9862831131935119
2500.0,1.0,50.0,0.01,0.9724779998970031,0.9859474265480042
2500.0,1.0,51.0,0.01,0.9720164307594299,0.9856117399024963
2500.0,1.0,52.0,0.01,0.9715548616218567,0.9852760532569885
2500.0,1.0,53.0,0.01,0.9710932924842834,0.984936551990509
2500.0,1.0,54.0,0.01,0.9706336306571961,0.984364358844757
2500.0,1.0,55.0,0.01,0.9701739688301086,0.9842632713890076
2500.0,1.0,56.0,0.01,0.9697143070030212,0.9839218628120422
2500.0,1.0,57.0,0.01,0.9692565524864196,0.9835823615455628
2500.0,1.0,58.0,0.01,0.9687987979698182,0.9832428602790833
2500.0,1.0,59.0,0.01,0.9683410434532166,0.9829033590126037
2500.0,1.0,60.0,0.01,0.9678871035575867,0.9825600431251525
2500.0,1.0,61.0,0.01,0.9674293490409851,0.9822186345481873
2500.0,1.0,62.0,0.01,0.9669715945243835,0.981877225971222
2500.0,1.0,63.0,0.01,0.9665157473182678,0.9815339100837708
2500.0,1.0,64.0,0.01,0.9660599001121521,0.9811905941963196
2500.0,1.0,65.0,0.01,0.9656059602165222,0.9808472783088684
2500.0,1.0,66.0,0.01,0.9651520203208923,0.9805020551109314
2500.0,1.0,67.0,0.01,0.9646980804252625,0.9801587392234802
2500.0,1.0,68.0,0.01,0.9642441405296326,0.9798135160255432
2500.0,1.0,69.0,0.01,0.9637921079444886,0.9794682928276062
2500.0,1.0,70.0,0.01,0.9633400753593445,0.9791211623191833
2500.0,1.0,71.0,0.01,0.9628880427742005,0.9787759391212464
2500.0,1.0,72.0,0.01,0.9624360101890564,0.9784288086128234
2500.0,1.0,73.0,0.01,0.9619839776039123,0.9780816781044006
2500.0,1.0,74.0,0.01,0.9615338523292541,0.9777326402854919
2500.0,1.0,75.0,0.01,0.961083727054596,0.9773874170875549
2500.0,1.0,76.0,0.01,0.9606336017799377,0.9770383792686462
2500.0,1.0,77.0,0.01,0.9601834765052796,0.9766893414497375
2500.0,1.0,78.0,0.01,0.9597352585411072,0.9763403036308289
2500.0,1.0,79.0,0.01,0.9592851332664489,0.9759912658119202
2500.0,1.0,80.0,0.01,0.9588369153022767,0.9756403206825256
2500.0,1.0,81.0,0.01,0.9583886973381043,0.975291282863617
2500.0,1.0,82.0,0.01,0.9579404793739319,0.9749403377342224
2500.0,1.0,83.0,0.01,0.9574922614097595,0.9745893926048279
2500.0,1.0,84.0,0.01,0.957045950756073,0.9742384474754333
2500.0,1.0,85.0,0.01,0.9565977327919006,0.9738875023460388
2500.0,1.0,86.0,0.01,0.9561514221382141,0.9735346499061585
2500.0,1.0,87.0,0.01,0.9557051114845275,0.973183704776764
2500.0,1.0,88.0,0.01,0.955258800830841,0.9728308523368836
2500.0,1.0,89.0,0.01,0.9548124901771545,0.9724779998970031
2500.0,1.0,90.0,0.01,0.9543680868339539,0.9721251474571228
2500.0,1.0,91.0,0.01,0.9539217761802673,0.9717722950172424
2500.0,1.0,92.0,0.01,0.9534773728370667,0.971419442577362
2500.0,1.0,93.0,0.01,0.953032969493866,0.9710646828269959
2500.0,1.0,94.0,0.01,0.9525866588401795,0.9707118303871155
2500.0,1.0,95.0,0.01,0.9521441628074646,0.9703570706367493
2500.0,1.0,96.0,0.01,0.9516997594642639,0.9700023108863831
2500.0,1.0,97.0,0.01,0.9512553561210633,0.9696475511360169
2500.0,1.0,98.0,0.01,0.9508128600883484,0.9692927913856506
2500.0,1.0,99.0,0.01,0.9503703640556336,0.9687396713447571
2500.0,1.0,100.0,0.01,0.9499259607124328,0.9685813645744323
2500.0,1.0,101.0,0.01,0.949483464679718,0.9682266048240662
2500.0,1.0,102.0,0.01,0.9490409686470032,0.9679633959770203
2500.0,1.0,103.0,0.01,0.9486003799247742,0.967513270702362
2500.0,1.0,104.0,0.01,0.9481578838920593,0.96715660364151
2500.0,1.0,105.0,0.01,0.9477153878593445,0.966799936580658
2500.0,1.0,106.0,0.01,0.9472728918266297,0.966443269519806
2500.0,1.0,107.0,0.01,0.9468323031044006,0.9660866024589538
2500.0,1.0,108.0,0.01,0.9463917143821716,0.9657280280876159
2500.0,1.0,109.0,0.01,0.9459511256599427,0.9653713610267639
2500.0,1.0,110.0,0.01,0.9455086296272278,0.965012786655426
2500.0,1.0,111.0,0.01,0.9450699482154846,0.9646542122840881
2500.0,1.0,112.0,0.01,0.9446293594932557,0.9642956379127503
2500.0,1.0,113.0,0.01,0.9441887707710266,0.9639389708518982
2500.0,1.0,114.0,0.01,0.9437500893592834,0.9635803964805603
2500.0,1.0,115.0,0.01,0.9433095006370544,0.9632199147987366
2500.0,1.0,116.0,0.01,0.9428708192253112,0.9628613404273987
2500.0,1.0,117.0,0.01,0.9424321378135682,0.962500858745575
2500.0,1.0,118.0,0.01,0.9419915490913391,0.9621422843742371
2500.0,1.0,119.0,0.01,0.9415528676795959,0.9617818026924133
2500.0,1.0,120.0,0.01,0.9411141862678528,0.9614232283210754
2500.0,1.0,121.0,0.01,0.9406774121665955,0.9610627466392517
2500.0,1.0,122.0,0.01,0.9402387307548523,0.9607022649574279
2500.0,1.0,123.0,0.01,0.9398000493431091,0.9603417832756043
2500.0,1.0,124.0,0.01,0.9393632752418518,0.9599813015937805
2500.0,1.0,125.0,0.01,0.9389245938301086,0.9596208199119568
2500.0,1.0,126.0,0.01,0.9384878197288513,0.959260338230133
2500.0,1.0,127.0,0.01,0.9380491383171081,0.9588979492378235
2500.0,1.0,128.0,0.01,0.9376123642158508,0.9585355602455139
2500.0,1.0,129.0,0.01,0.9371755901145935,0.9581750785636902
2500.0,1.0,130.0,0.01,0.9367388160133362,0.9578126895713807
2500.0,1.0,131.0,0.01,0.9363020419120789,0.9574522078895569
2500.0,1.0,132.0,0.01,0.9358652678108216,0.9570898188972473
2500.0,1.0,133.0,0.01,0.93543040102005,0.9567274299049378
