N,d,k,beta,prob_low,prob_upp
10.0,1.0,0.0,0.01,0.6309568916130066,1.0
10.0,1.0,1.0,0.01,0.49564656381607053,0.9989953375816345
10.0,1.0,2.0,0.01,0.3882573542213441,0.9844616316795349
10.0,1.0,3.0,0.01,0.29711652265548716,0.9524932006263733
10.0,1.0,4.0,0.01,0.21833887765884397,0.9067864121437073
10.0,1.0,5.0,0.01,0.15044243898391718,0.8495575610160827
10.0,1.0,6.0,0.01,0.09321358785629252,0.781661122341156
10.0,1.0,7.0,0.01,0.04750679937362656,0.702883477344513
10.0,1.0,8.0,0.01,0.015538368320465068,0.6117426457786559
10.0,1.0,9.0,0.01,0.0010046624183653874,0.4999990463447571
10.0,1.0,10.0,0.01,0.0,0.3690431083869934
