N,d,k,beta,prob_low,prob_upp
500.0,1.0,0.0,0.05,0.9940267937660218,1.0
500.0,1.0,1.0,0.05,0.9905478594398499,0.9998974954414368
500.0,1.0,2.0,0.05,0.987461831073761,0.9992890633964538
500.0,1.0,3.0,0.05,0.9845665337562561,0.9983621105003357
500.0,1.0,4.0,0.05,0.9817875823783875,0.9972615923500061
500.0,1.0,5.0,0.05,0.9790887380409241,0.9960523575019836
500.0,1.0,6.0,0.05,0.9764528349494934,0.9947611083030701
500.0,1.0,7.0,0.05,0.9738646146202088,0.9934107324790955
500.0,1.0,8.0,0.05,0.9713164478111267,0.9920279323768616
500.0,1.0,9.0,0.05,0.9688007052803039,0.9905783764076233
500.0,1.0,10.0,0.05,0.966311665096283,0.9891097473335266
500.0,1.0,11.0,0.05,0.9638474199485779,0.9876144159126282
500.0,1.0,12.0,0.05,0.961404155216217,0.9860942894554138
500.0,1.0,13.0,0.05,0.9589799635887146,0.9845531825828552
500.0,1.0,14.0,0.05,0.9565729377555847,0.9829949099159241
500.0,1.0,15.0,0.05,0.9541811704063415,0.9814175641441345
500.0,1.0,16.0,0.05,0.9518008469200134,0.9798268671989441
500.0,1.0,17.0,0.05,0.949435781917572,0.9782228190803528
500.0,1.0,18.0,0.05,0.9470821607780456,0.9766054197883606
500.0,1.0,19.0,0.05,0.9447380761909485,0.9749746693229675
500.0,1.0,20.0,0.05,0.9424054354667664,0.9733362896156311
500.0,1.0,21.0,0.05,0.9400804239845276,0.9716864660453797
500.0,1.0,22.0,0.05,0.937764949054718,0.9687396713447571
500.0,1.0,23.0,0.05,0.9354571033668518,0.968360116558075
500.0,1.0,24.0,0.05,0.933156886920929,0.9666835906410217
500.0,1.0,25.0,0.05,0.9308642997169494,0.965001342792511
500.0,1.0,26.0,0.05,0.9285774344444275,0.9633114657020568
500.0,1.0,27.0,0.05,0.9262981984138489,0.9616139593696594
500.0,1.0,28.0,0.05,0.9240246843147277,0.9599107311058045
500.0,1.0,29.0,0.05,0.9217568921470642,0.9581998736000061
500.0,1.0,30.0,0.05,0.9194948219108582,0.9564852014732361
500.0,1.0,31.0,0.05,0.9172384736061097,0.9547648074150086
500.0,1.0,32.0,0.05,0.9149859399223328,0.9530386914253235
500.0,1.0,33.0,0.05,0.9127391281700135,0.9513068535041809
500.0,1.0,34.0,0.05,0.9104980383491517,0.9495712009620666
500.0,1.0,35.0,0.05,0.9082588558387756,0.9478298264884949
500.0,1.0,36.0,0.05,0.906027302570343,0.9460846373939514
500.0,1.0,37.0,0.05,0.9037976566123962,0.9443337263679504
500.0,1.0,38.0,0.05,0.9015718252754211,0.9425809080314637
500.0,1.0,39.0,0.05,0.8993498085594177,0.9408242750740051
500.0,1.0,40.0,0.05,0.8971316064643859,0.9374902963447571
