N,d,k,beta,prob_low,prob_upp
250.0,1.0,0.0,0.3,0.9951959750938415,1.0
250.0,1.0,1.0,0.3,0.9902712994194031,0.9985738219642639
250.0,1.0,2.0,0.3,0.9855850375556946,0.9956117687797547
250.0,1.0,3.0,0.3,0.981018936252594,0.9923426386070251
250.0,1.0,4.0,0.3,0.9765272200584412,0.9889399967002869
250.0,1.0,5.0,0.3,0.9720908158683776,0.984364358844757
250.0,1.0,6.0,0.3,0.967692557888031,0.9819134648704528
250.0,1.0,7.0,0.3,0.9633267241859436,0.9783315357780457
250.0,1.0,8.0,0.3,0.9589875928306579,0.9747171824073791
250.0,1.0,9.0,0.3,0.9546694418907166,0.9687396713447571
250.0,1.0,10.0,0.3,0.9503703640556336,0.9674140905570984
250.0,1.0,11.0,0.3,0.9460846373939514,0.9637291666984558
250.0,1.0,12.0,0.3,0.9418160765266418,0.9600289843559265
250.0,1.0,13.0,0.3,0.9375589595222473,0.9531149838447571
250.0,1.0,14.0,0.3,0.9333132863807678,0.952592380771637
250.0,1.0,15.0,0.3,0.9290771497917175,0.9488540522193909
250.0,1.0,16.0,0.3,0.9248505497550964,0.9451080944252014
250.0,1.0,17.0,0.3,0.9206334862709046,0.9413506927680969
250.0,1.0,18.0,0.3,0.916424052028656,0.9374902963447571
250.0,1.0,19.0,0.3,0.912220339717865,0.933811094417572
250.0,1.0,20.0,0.3,0.9080261639595032,0.9300308050346374
250.0,1.0,21.0,0.3,0.903835802822113,0.9262428864097595
250.0,1.0,22.0,0.3,0.8996530709266662,0.9224511531639099
250.0,1.0,23.0,0.3,0.8954741536521911,0.9186498833656311
250.0,1.0,24.0,0.3,0.8913009583091736,0.9148447989463806
250.0,1.0,25.0,0.3,0.8871353922080993,0.9110339925956726
250.0,1.0,26.0,0.3,0.882971733417511,0.9062409213447571
250.0,1.0,27.0,0.3,0.8788118892478942,0.9033990287208558
250.0,1.0,28.0,0.3,0.8746577670097351,0.899572963886261
250.0,1.0,29.0,0.3,0.8705093667030335,0.8957449917411804
250.0,1.0,30.0,0.3,0.8663628737068176,0.8919112976646424
250.0,1.0,31.0,0.3,0.8622201953315735,0.8880737889671326
250.0,1.0,32.0,0.3,0.858081331577301,0.8842324656486511
250.0,1.0,33.0,0.3,0.8539462824440003,0.8803892350196838
250.0,1.0,34.0,0.3,0.8498150479316712,0.8749915463447571
250.0,1.0,35.0,0.3,0.8456857207298278,0.8726894225883484
250.0,1.0,36.0,0.3,0.8415602081489563,0.8688328407859802
250.0,1.0,37.0,0.3,0.8374366028785706,0.8649762589836121
250.0,1.0,38.0,0.3,0.8333168122291565,0.8611158625602722
250.0,1.0,39.0,0.3,0.8292008362007142,0.8572516515159607
250.0,1.0,40.0,0.3,0.8250867674827576,0.8533855331611633
250.0,1.0,41.0,0.3,0.8209746060752868,0.8495156001853943
250.0,1.0,42.0,0.3,0.8168662592887879,0.843742171344757
250.0,1.0,43.0,0.3,0.8127598198127747,0.8417700123023987
250.0,1.0,44.0,0.3,0.8086552876472474,0.8378943573951722
250.0,1.0,45.0,0.3,0.8045526627922058,0.8340129805564881
250.0,1.0,46.0,0.3,0.8004538525581361,0.8301316037178039
250.0,1.0,47.0,0.3,0.7963569496345521,0.8262483195686341
250.0,1.0,48.0,0.3,0.7922619540214538,0.8223612207984925
250.0,1.0,49.0,0.3,0.7881688657188415,0.8184741220283509
250.0,1.0,50.0,0.3,0.7840776847267151,0.8124927963447571
250.0,1.0,51.0,0.3,0.7799903183555603,0.8106903879356384
250.0,1.0,52.0,0.3,0.7759029519844055,0.8067956599235535
250.0,1.0,53.0,0.3,0.7718174929237367,0.8028990246009827
250.0,1.0,54.0,0.3,0.7677339411735535,0.7990004819679261
250.0,1.0,55.0,0.3,0.7636542040443421,0.7951000320243835
250.0,1.0,56.0,0.3,0.7595744669151306,0.7911976747703552
250.0,1.0,57.0,0.3,0.755496637096405,0.7872934102058411
250.0,1.0,58.0,0.3,0.7514207145881653,0.7812434213447571
250.0,1.0,59.0,0.3,0.7473466993904113,0.7794791591453553
250.0,1.0,60.0,0.3,0.7432803134346009,0.7755710799598694
250.0,1.0,61.0,0.3,0.7392043909263611,0.7716591861534119
250.0,1.0,62.0,0.3,0.7351360976600648,0.7677453850364686
250.0,1.0,63.0,0.3,0.7310678043937684,0.7638315839195252
250.0,1.0,64.0,0.3,0.7270033257484436,0.759915875492096
250.0,1.0,65.0,0.3,0.722938847103119,0.755998259754181
250.0,1.0,66.0,0.3,0.7188762757682801,0.7499940463447571
250.0,1.0,67.0,0.3,0.714815611743927,0.7481573063468933
250.0,1.0,68.0,0.3,0.710754947719574,0.7442339686775208
250.0,1.0,69.0,0.3,0.7066980983161926,0.7403125383186341
250.0,1.0,70.0,0.3,0.7026412489128113,0.7363853860282898
250.0,1.0,71.0,0.3,0.6985863068199158,0.7324582337379457
250.0,1.0,72.0,0.3,0.6945332720375061,0.7285291741371156
250.0,1.0,73.0,0.3,0.6904802372550964,0.7246001145362855
250.0,1.0,74.0,0.3,0.6864291097831726,0.7206691476249695
250.0,1.0,75.0,0.3,0.6823798896217348,0.7167362734031677
250.0,1.0,76.0,0.3,0.6783325767707825,0.7128014918708802
250.0,1.0,77.0,0.3,0.6742852639198303,0.7088667103385925
250.0,1.0,78.0,0.3,0.6702398583793641,0.7049300214958192
250.0,1.0,79.0,0.3,0.6661963601493835,0.7009914253425599
250.0,1.0,80.0,0.3,0.662152861919403,0.6970528291893006
250.0,1.0,81.0,0.3,0.6581112709999084,0.6931123257255554
250.0,1.0,82.0,0.3,0.6540715873908997,0.6874952963447571
250.0,1.0,83.0,0.3,0.6500319037818909,0.6852255968666077
250.0,1.0,84.0,0.3,0.6459960347938537,0.6812812787818909
250.0,1.0,85.0,0.3,0.6419582584953307,0.6773350533866882
250.0,1.0,86.0,0.3,0.6379242968177795,0.6733888279914856
250.0,1.0,87.0,0.3,0.6338903351402283,0.6694406952857972
250.0,1.0,88.0,0.3,0.629856373462677,0.6654906552696228
250.0,1.0,89.0,0.3,0.6258262264060974,0.6615387079429625
250.0,1.0,90.0,0.3,0.6217960793495179,0.6575886679267883
250.0,1.0,91.0,0.3,0.6177659322929382,0.6536348132896423
250.0,1.0,92.0,0.3,0.6137376925468444,0.6496809586524963
250.0,1.0,93.0,0.3,0.6097113601112366,0.6457251967048644
250.0,1.0,94.0,0.3,0.6056850276756287,0.6417694347572327
250.0,1.0,95.0,0.3,0.6016606025505066,0.6378098581886291
250.0,1.0,96.0,0.3,0.5976380847358703,0.6338521889305115
250.0,1.0,97.0,0.3,0.5936155669212341,0.6298907050514221
250.0,1.0,98.0,0.3,0.5895949564170837,0.6249965463447571
250.0,1.0,99.0,0.3,0.5855762532234192,0.6219677372932434
250.0,1.0,100.0,0.3,0.5815556427192687,0.6180043461036682
250.0,1.0,101.0,0.3,0.57753884683609,0.6140390476036072
250.0,1.0,102.0,0.3,0.5735220509529113,0.6100737491035462
250.0,1.0,103.0,0.3,0.5695071623802185,0.6061065432929993
250.0,1.0,104.0,0.3,0.5654922738075256,0.6021374301719665
250.0,1.0,105.0,0.3,0.5614792925453186,0.5981683170509338
250.0,1.0,106.0,0.3,0.5574682185935973,0.5941992039299011
250.0,1.0,107.0,0.3,0.5534571446418762,0.5902281834983825
250.0,1.0,108.0,0.3,0.549446070690155,0.5862552557563782
