N,d,k,beta,prob_low,prob_upp
100.0,1.0,0.0,0.05,0.9704867677497864,1.0
100.0,1.0,1.0,0.05,0.9534411339378357,0.9994874236869812
100.0,1.0,2.0,0.05,0.9383810103416443,0.9964338195991516
100.0,1.0,3.0,0.05,0.9242898004722595,0.9917742600822449
100.0,1.0,4.0,0.05,0.910803208026886,0.9862239865684509
100.0,1.0,5.0,0.05,0.8977457604408264,0.9800938906669616
100.0,1.0,6.0,0.05,0.8850144629478455,0.9735499083900452
100.0,1.0,7.0,0.05,0.8725425596809387,0.9666893125724793
100.0,1.0,8.0,0.05,0.8602823678779602,0.959571229839325
100.0,1.0,9.0,0.05,0.8482052778816224,0.9522433429527283
100.0,1.0,10.0,0.05,0.8362826800346375,0.9447361688804626
100.0,1.0,11.0,0.05,0.8244974085426331,0.9370764099693298
100.0,1.0,12.0,0.05,0.8128342049217224,0.9292793247032165
100.0,1.0,13.0,0.05,0.8012797179985046,0.9213601715660095
100.0,1.0,14.0,0.05,0.7898263185310364,0.9133323017311097
100.0,1.0,15.0,0.05,0.7784625626564026,0.905205251750946
100.0,1.0,16.0,0.05,0.7671846357536316,0.896988558177948
100.0,1.0,17.0,0.05,0.7559830012702943,0.888687942943573
100.0,1.0,18.0,0.05,0.7448557518959046,0.8803091279792785
100.0,1.0,19.0,0.05,0.7337952583885192,0.8718578352165223
100.0,1.0,20.0,0.05,0.7227996134376526,0.8633378792762756
100.0,1.0,21.0,0.05,0.7118650024223327,0.8547549820899963
100.0,1.0,22.0,0.05,0.7009876107215882,0.8461110509681702
100.0,1.0,23.0,0.05,0.6901674383354187,0.8374099005317688
100.0,1.0,24.0,0.05,0.6793968560218812,0.8286534380912781
100.0,1.0,25.0,0.05,0.6686777710914613,0.819841663646698
100.0,1.0,26.0,0.05,0.6580082762336731,0.8109841137504578
100.0,1.0,27.0,0.05,0.6473845568275451,0.8020750664710998
100.0,1.0,28.0,0.05,0.6368066128730775,0.7931202437400817
100.0,1.0,29.0,0.05,0.626270629749298,0.7841196455574035
100.0,1.0,30.0,0.05,0.615780422077179,0.7750770865440368
100.0,1.0,31.0,0.05,0.6053283606147767,0.7659906593894958
100.0,1.0,32.0,0.05,0.5949182599830627,0.7499940463447571
100.0,1.0,33.0,0.05,0.5845463055610657,0.74769573720932
100.0,1.0,34.0,0.05,0.5742124973487854,0.7385101299095154
100.0,1.0,35.0,0.05,0.563916835346222,0.7292463228797914
100.0,1.0,36.0,0.05,0.5536574122428894,0.7199634427452087
100.0,1.0,37.0,0.05,0.5434342280387879,0.7106443237113953
100.0,1.0,38.0,0.05,0.5332472827339173,0.7012889657783509
100.0,1.0,39.0,0.05,0.5230946690177918,0.6918992762565613
100.0,1.0,40.0,0.05,0.5129763868904114,0.6824733478355408
100.0,1.0,41.0,0.05,0.5028924363517762,0.6730149951362611
100.0,1.0,42.0,0.05,0.4928409100914003,0.6635204035377502
100.0,1.0,43.0,0.05,0.4828237154197692,0.6539933876609803
100.0,1.0,44.0,0.05,0.47284085233688355,0.6444320401954651
100.0,1.0,45.0,0.05,0.46289041353225713,0.6348382684516908
100.0,1.0,46.0,0.05,0.4529723990058899,0.6252101651191712
100.0,1.0,47.0,0.05,0.44308490144729606,0.6155515448188782
100.0,1.0,48.0,0.05,0.43323173547744753,0.6058585929298401
100.0,1.0,49.0,0.05,0.4234109937858581,0.5961351240730285
100.0,1.0,50.0,0.05,0.41362076906204215,0.5863792309379576
100.0,1.0,51.0,0.05,0.4038648759269715,0.5765890062141418
100.0,1.0,52.0,0.05,0.3941414070701599,0.5667682645225525
100.0,1.0,53.0,0.05,0.3844484551811218,0.5569150985527038
100.0,1.0,54.0,0.05,0.37478983488082884,0.5470276009941101
100.0,1.0,55.0,0.05,0.36516173154830933,0.5371095864677429
100.0,1.0,56.0,0.05,0.3555679598045349,0.5271591476631166
100.0,1.0,57.0,0.05,0.34600661233901997,0.5171762845802308
100.0,1.0,58.0,0.05,0.33647959646225,0.4999990463447571
100.0,1.0,59.0,0.05,0.32698500486373905,0.49710756364822395
100.0,1.0,60.0,0.05,0.3175266521644594,0.48702552042007463
100.0,1.0,61.0,0.05,0.3081007237434388,0.4769491991233825
100.0,1.0,62.0,0.05,0.29871103422164913,0.4667527172660828
100.0,1.0,63.0,0.05,0.2893556762886047,0.4565657719612122
100.0,1.0,64.0,0.05,0.28003655725479126,0.44634258775711055
100.0,1.0,65.0,0.05,0.2707536771202089,0.43608316465377794
100.0,1.0,66.0,0.05,0.2615089431953429,0.42578750265121457
100.0,1.0,67.0,0.05,0.25230426279067997,0.4154536944389342
100.0,1.0,68.0,0.05,0.2431358212852479,0.4050817400169371
100.0,1.0,69.0,0.05,0.23400934061050416,0.3946716393852234
100.0,1.0,70.0,0.05,0.22492291345596316,0.38421957792282113
100.0,1.0,71.0,0.05,0.21588035444259657,0.3737293702507021
100.0,1.0,72.0,0.05,0.20687975625991828,0.3631933871269225
100.0,1.0,73.0,0.05,0.19792493352890006,0.35261544317245497
100.0,1.0,74.0,0.05,0.18901588624954235,0.341991723766327
100.0,1.0,75.0,0.05,0.18015833635330203,0.3313222289085389
100.0,1.0,76.0,0.05,0.171346561908722,0.32060314397811884
100.0,1.0,77.0,0.05,0.162590099468231,0.3098325616645815
100.0,1.0,78.0,0.05,0.15388894903182992,0.299012389278412
100.0,1.0,79.0,0.05,0.14524501791000377,0.28813499757766725
100.0,1.0,80.0,0.05,0.1366621207237242,0.27720038656234736
100.0,1.0,81.0,0.05,0.12814216478347773,0.2662047416114808
100.0,1.0,82.0,0.05,0.11969087202072137,0.25000404634475715
100.0,1.0,83.0,0.05,0.11131205705642688,0.24401699872970595
100.0,1.0,84.0,0.05,0.10301144182205191,0.2328153642463684
100.0,1.0,85.0,0.05,0.09479474824905398,0.2215374373435972
100.0,1.0,86.0,0.05,0.08666769826889031,0.21017368146896376
100.0,1.0,87.0,0.05,0.07863982843399031,0.19872028200149527
100.0,1.0,88.0,0.05,0.07072067529678328,0.18716579507827769
100.0,1.0,89.0,0.05,0.0629274046516417,0.17550259145736713
100.0,1.0,90.0,0.05,0.055263831119537365,0.16371731996536254
100.0,1.0,91.0,0.05,0.0477566570472715,0.15179472211837763
100.0,1.0,92.0,0.05,0.04042877016067492,0.1397176321220398
100.0,1.0,93.0,0.05,0.033310687427520524,0.12500654634475705
100.0,1.0,94.0,0.05,0.026450091609954707,0.11498553705215453
100.0,1.0,95.0,0.05,0.01990610933303827,0.10225423955917357
100.0,1.0,96.0,0.05,0.013776013431548995,0.08919679197311381
100.0,1.0,97.0,0.05,0.008225739917755104,0.062507796344757
100.0,1.0,98.0,0.05,0.00356618040084844,0.06161898965835566
100.0,1.0,99.0,0.05,0.0005125763130187089,0.03125842134475698
100.0,1.0,100.0,0.05,0.0,0.029513232250213517
