N,d,k,beta,prob_low,prob_upp
25.0,1.0,0.0,0.3,0.9529833794212341,1.0
25.0,1.0,1.0,0.3,0.9052014371299744,0.9858348952293396
25.0,1.0,2.0,0.3,0.8600058078575135,0.9561857537269592
25.0,1.0,3.0,0.3,0.8161987006187439,0.9232922770881653
25.0,1.0,4.0,0.3,0.7733147316551209,0.8749915463447571
25.0,1.0,5.0,0.3,0.7311250237083435,0.8534522890281677
25.0,1.0,6.0,0.3,0.6894941577339173,0.8173221064949036
25.0,1.0,7.0,0.3,0.648338212070465,0.7499940463447571
25.0,1.0,8.0,0.3,0.607598060092926,0.743432898273468
25.0,1.0,9.0,0.3,0.5672374629020691,0.7058226428031922
25.0,1.0,10.0,0.3,0.5272316254615784,0.6678309252357484
25.0,1.0,11.0,0.3,0.4875633819770814,0.6294806332969666
25.0,1.0,12.0,0.3,0.4482212885856627,0.590794654712677
25.0,1.0,13.0,0.3,0.4092053452873229,0.5517787114143371
25.0,1.0,14.0,0.3,0.3705193667030333,0.4999990463447571
25.0,1.0,15.0,0.3,0.33216907476425195,0.4727683745384217
25.0,1.0,16.0,0.3,0.29417735719680793,0.4327625370979309
25.0,1.0,17.0,0.3,0.25656710172653197,0.37500154634475713
25.0,1.0,18.0,0.3,0.21938217649459846,0.35166178792953495
25.0,1.0,19.0,0.3,0.18267789350509644,0.3105058422660829
25.0,1.0,20.0,0.3,0.14654771097183228,0.25000404634475715
25.0,1.0,21.0,0.3,0.11113658449172958,0.22668526834487923
25.0,1.0,22.0,0.3,0.0767077229118347,0.18380129938125622
25.0,1.0,23.0,0.3,0.043814246273040536,0.12500654634475705
25.0,1.0,24.0,0.3,0.014165104770660353,0.062507796344757
25.0,1.0,25.0,0.3,0.0,0.047016620578765655
